Sentence #,Sentence,POS,Tag,Token,New_Tag
Sentence: 2421,"The hall also gave a lifetime achievement award to trumpeter Herb Alpert and business partner Jerry Moss , the founders of A&M Records .","['DT', 'NN', 'RB', 'VBD', 'DT', 'NN', 'NN', 'NN', 'TO', 'VB', 'NNP', 'NNP', 'CC', 'NN', 'NN', 'NNP', 'NNP', ',', 'DT', 'NNS', 'IN', 'NNP', 'NNP', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'O']","['The', 'hall', 'also', 'gave', 'a', 'lifetime', 'achievement', 'award', 'to', 'trumpeter', 'Herb', 'Alpert', 'and', 'business', 'partner', 'Jerry', 'Moss', ',', 'the', 'founders', 'of', 'A', '&', 'M', 'Records', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O']"
Sentence: 2673,He also criticized several Iraqi government officials and the U.S. Ambassador to Iraq .,"['PRP', 'RB', 'VBD', 'JJ', 'JJ', 'NN', 'NNS', 'CC', 'DT', 'NNP', 'NN', 'TO', 'NNP', '.']","['O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'B-geo', 'O']","['He', 'also', 'criticized', 'several', 'Iraqi', 'government', 'officials', 'and', 'the', 'U.S', '.', 'Ambassador', 'to', 'Iraq', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'B-LOC', 'O']"
Sentence: 2807,Former U.S. president Bill Clinton has signed an agreement with the Cambodian government to expand medical treatment for children living with H.I.V. and AIDS .,"['JJ', 'NNP', 'NN', 'NNP', 'NNP', 'VBZ', 'VBN', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'TO', 'VB', 'JJ', 'NN', 'IN', 'NNS', 'VBG', 'IN', 'NNP', 'CC', 'NNP', '.']","['O', 'B-geo', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Former', 'U.S.', 'president', 'Bill', 'Clinton', 'has', 'signed', 'an', 'agreement', 'with', 'the', 'Cambodian', 'government', 'to', 'expand', 'medical', 'treatment', 'for', 'children', 'living', 'with', 'H.I.V', '.', 'and', 'AIDS', '.']","['O', 'B-LOC', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 2813,Prime Minister Hun Sen says Mr. Clinton 's visit will raise awareness about H.I.V. and help prevent discrimination against people living with the virus .,"['NNP', 'NNP', 'NNP', 'NNP', 'VBZ', 'NNP', 'NNP', 'POS', 'NN', 'MD', 'VB', 'NN', 'IN', 'NNP', 'CC', 'VB', 'VB', 'NN', 'IN', 'NNS', 'VBG', 'IN', 'DT', 'NN', '.']","['B-per', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Prime', 'Minister', 'Hun', 'Sen', 'says', 'Mr.', 'Clinton', ""'s"", 'visit', 'will', 'raise', 'awareness', 'about', 'H.I.V', '.', 'and', 'help', 'prevent', 'discrimination', 'against', 'people', 'living', 'with', 'the', 'virus', '.']","['B-PER', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 2900,Recreational diving is also a growing amateur sport in the U.S.,"['JJ', 'NN', 'VBZ', 'RB', 'DT', 'VBG', 'NN', 'NN', 'IN', 'DT', 'NNP']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo']","['Recreational', 'diving', 'is', 'also', 'a', 'growing', 'amateur', 'sport', 'in', 'the', 'U.S', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC']"
Sentence: 3037,"The Twitter outage follows a wave of similar cyber attacks last month that disrupted access to several high-profile U.S. Web sites , including the White House site .","['DT', 'NNP', 'NN', 'VBZ', 'DT', 'NN', 'IN', 'JJ', 'NN', 'NNS', 'JJ', 'NN', 'WDT', 'VBD', 'NN', 'TO', 'JJ', 'JJ', 'NNP', 'NNP', 'NNS', ',', 'VBG', 'DT', 'NNP', 'NNP', 'NN', '.']","['O', 'B-art', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'O', 'O']","['The', 'Twitter', 'outage', 'follows', 'a', 'wave', 'of', 'similar', 'cyber', 'attacks', 'last', 'month', 'that', 'disrupted', 'access', 'to', 'several', 'high-profile', 'U.S', '.', 'Web', 'sites', ',', 'including', 'the', 'White', 'House', 'site', '.']","['O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O']"
Sentence: 3442,U.N. Emergency Relief Coordinator Jan Egeland praised the Ugandan government Wednesday for its renewed efforts to seek dialogue .,"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'VBD', 'DT', 'JJ', 'NN', 'NNP', 'IN', 'PRP$', 'JJ', 'NNS', 'TO', 'VB', 'NN', '.']","['B-org', 'I-org', 'I-org', 'I-org', 'B-per', 'I-per', 'O', 'O', 'B-gpe', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['U.N', '.', 'Emergency', 'Relief', 'Coordinator', 'Jan', 'Egeland', 'praised', 'the', 'Ugandan', 'government', 'Wednesday', 'for', 'its', 'renewed', 'efforts', 'to', 'seek', 'dialogue', '.']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-PER', 'I-PER', 'O', 'O', 'B-LOC', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 3494,The Sudanese army says the information provided by A.U. Ambassador Baba Gana Kingibe is incorrect and unreliable .,"['DT', 'JJ', 'NN', 'VBZ', 'DT', 'NN', 'VBN', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'VBZ', 'JJ', 'CC', 'JJ', '.']","['O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O']","['The', 'Sudanese', 'army', 'says', 'the', 'information', 'provided', 'by', 'A.U', '.', 'Ambassador', 'Baba', 'Gana', 'Kingibe', 'is', 'incorrect', 'and', 'unreliable', '.']","['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O']"
Sentence: 3716,The United States issued a waiver to its immigration laws in May to allow many of the refugees to apply for resettlement in the U.S.,"['DT', 'NNP', 'NNPS', 'VBD', 'DT', 'NN', 'TO', 'PRP$', 'NN', 'NNS', 'IN', 'NNP', 'TO', 'VB', 'NN', 'IN', 'DT', 'NNS', 'TO', 'VB', 'IN', 'NN', 'IN', 'DT', 'NNP']","['O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo']","['The', 'United', 'States', 'issued', 'a', 'waiver', 'to', 'its', 'immigration', 'laws', 'in', 'May', 'to', 'allow', 'many', 'of', 'the', 'refugees', 'to', 'apply', 'for', 'resettlement', 'in', 'the', 'U.S', '.']","['O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC']"
Sentence: 3944,"Those signing urged Mr. Bush , among other things , to halt activities that hurt the environment , ratify the Kyoto Protocol , withdraw U.S. troops from the Middle East and close down the terrorist detention center at the U.S. Naval base in Guantanamo Bay , Cuba .","['DT', 'NN', 'VBD', 'NNP', 'NNP', ',', 'IN', 'JJ', 'NNS', ',', 'TO', 'VB', 'NNS', 'WDT', 'VBP', 'DT', 'NN', ',', 'VB', 'DT', 'NNP', 'NNP', ',', 'VB', 'NNP', 'NNS', 'IN', 'DT', 'NNP', 'NNP', 'CC', 'RB', 'IN', 'DT', 'JJ', 'NN', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'NN', 'IN', 'NNP', 'NNP', ',', 'NNP', '.']","['O', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'B-geo', 'I-geo', 'O', 'B-geo', 'O']","['Those', 'signing', 'urged', 'Mr.', 'Bush', ',', 'among', 'other', 'things', ',', 'to', 'halt', 'activities', 'that', 'hurt', 'the', 'environment', ',', 'ratify', 'the', 'Kyoto', 'Protocol', ',', 'withdraw', 'U.S.', 'troops', 'from', 'the', 'Middle', 'East', 'and', 'close', 'down', 'the', 'terrorist', 'detention', 'center', 'at', 'the', 'U.S', '.', 'Naval', 'base', 'in', 'Guantanamo', 'Bay', ',', 'Cuba', '.']","['O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'B-LOC', 'O']"
Sentence: 3951,"The head of the ruling MVR party , William Lara , has accused the U.S. Ambassador to Venezuela , William Brownfield , of meeting with the group .","['DT', 'NN', 'IN', 'DT', 'NN', 'NNP', 'NN', ',', 'NNP', 'NNP', ',', 'VBZ', 'VBN', 'DT', 'NNP', 'NN', 'TO', 'NNP', ',', 'NNP', 'NNP', ',', 'IN', 'NN', 'IN', 'DT', 'NN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'B-geo', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['The', 'head', 'of', 'the', 'ruling', 'MVR', 'party', ',', 'William', 'Lara', ',', 'has', 'accused', 'the', 'U.S', '.', 'Ambassador', 'to', 'Venezuela', ',', 'William', 'Brownfield', ',', 'of', 'meeting', 'with', 'the', 'group', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'B-LOC', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 4421,"The first Sinhalese arrived in Sri Lanka late in the 6th century B.C. , probably from northern India .","['DT', 'JJ', 'NN', 'VBD', 'IN', 'NNP', 'NNP', 'RB', 'IN', 'DT', 'JJ', 'NN', 'NNP', ',', 'RB', 'IN', 'JJ', 'NNP', '.']","['O', 'O', 'B-org', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'B-tim', 'I-tim', 'I-tim', 'O', 'O', 'O', 'O', 'B-geo', 'O']","['The', 'first', 'Sinhalese', 'arrived', 'in', 'Sri', 'Lanka', 'late', 'in', 'the', '6th', 'century', 'B.C', '.', ',', 'probably', 'from', 'northern', 'India', '.']","['O', 'O', 'B-ORG', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
Sentence: 4422,"Buddhism was introduced in about the mid-third century B.C. , and a great civilization developed at the cities of Anuradhapura ( kingdom from circa 200 B.C. to circa A.D. 1000 ) and Polonnaruwa ( from about 1070 to 1200 ) .","['NNP', 'VBD', 'VBN', 'IN', 'IN', 'DT', 'JJ', 'NN', 'NNP', ',', 'CC', 'DT', 'JJ', 'NN', 'VBD', 'IN', 'DT', 'NNS', 'IN', 'NNP', 'LRB', 'NN', 'IN', 'NN', 'CD', 'NNP', 'TO', 'VB', 'NNP', 'CD', 'RRB', 'CC', 'NNP', 'LRB', 'IN', 'IN', 'CD', 'TO', 'CD', 'RRB', '.']","['B-art', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'I-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'O', 'O', 'B-tim', 'I-tim', 'O', 'O', 'B-geo', 'O', 'O', 'B-tim', 'I-tim', 'I-tim', 'I-tim', 'O', 'O']","['Buddhism', 'was', 'introduced', 'in', 'about', 'the', 'mid-third', 'century', 'B.C', '.', ',', 'and', 'a', 'great', 'civilization', 'developed', 'at', 'the', 'cities', 'of', 'Anuradhapura', '(', 'kingdom', 'from', 'circa', '200', 'B.C', '.', 'to', 'circa', 'A.D.', '1000', ')', 'and', 'Polonnaruwa', '(', 'from', 'about', '1070', 'to', '1200', ')', '.']","['B-MISC', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'B-LOC', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'O', 'O']"
